carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz GL 350 GL 350 BlueTEC 4MATIC,8.000 €,180.000 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,02/2013,7,4/5,Euro6,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz MERCEDES ML280 CDI 4-MATIC COMAND LUFT AHK...,8.000 €,247.000 km,-1,140 kW (190 PS),Diesel,Automatik,-1,11/2007,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz A 180 AMG Line Bi-Xenon BlueEfficiency,9.675 € (Brutto),76.250 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,2014,07/2014,5,4/5,-1,Limousine,-1,Unfallfrei
Mercedes-Benz C 220 d BlueTEC Klima,10.600 € (Brutto),97.000 km,2.143 cm³,125 kW (170 PS),Diesel,Schaltgetriebe,2014,09/2014,5,4/5,-1,Limousine,-1,Unfallfrei
Mercedes-Benz C 180 C 180 EXCLUSIVE,11.000 €,66.000 km,1.595 cm³,-1,Benzin,Schaltgetriebe,-1,03/2017,5,-1,Euro6,Limousine,-1,-1
Mercedes-Benz CLA 250 7G-DCT AMG Line,10.875 € (Brutto),90.300 km,1.991 cm³,155 kW (211 PS),Benzin,Automatik,2013,04/2013,5,4/5,-1,Limousine,-1,Unfallfrei
Mercedes-Benz A 220 CDI Xenon Leder Bi-Xenon,9.690 € (Brutto),99.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,2013,04/2013,5,4/5,-1,Limousine,-1,Unfallfrei
Mercedes-Benz A 220 CDI AMG Line Top Ausstattung,10.850 € (Brutto),70.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,2014,01/2014,5,4/5,-1,Limousine,-1,Unfallfrei
Mercedes-Benz B 220 CDI PANO NAVI LEDER,9.699 € (Brutto),84.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,2013,11/2013,5,4/5,-1,Kombi,-1,Unfallfrei
Mercedes-Benz CLA 180 URBAN NAVI PANO KAMERA,9.499 € (Brutto),92.378 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,2013,04/2013,5,4/5,-1,Limousine,-1,Unfallfrei
Mercedes-Benz V 220 V 220 d AVANTGARDE lang,11.000 €,140.000 km,2.143 cm³,120 kW (163 PS),Diesel,Automatik,-1,04/2016,6,4/5,Euro6,Van / Minibus,-1,-1
Mercedes-Benz MERCEDES BENZ CLK 320 CDI AMG-STYLING,9.250 €,197.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,09/2008,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Viano 2.2 CDI Automatik AHK Sitzheizung PDC,8.499 €,218.000 km,2.148 cm³,110 kW (150 PS),Diesel,Automatik,-1,02/2008,7,4/5,Euro4,Van / Minibus,-1,-1
Mercedes-Benz ML 250 ML 250 BlueTEC 4MATIC,8.000 €,170.000 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,07/2014,5,4/5,Euro6,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Vito 116 CDI Lang Pro 7G-Tronic-Plus,8.000 €,120.000 km,-1,120 kW (163 PS),Diesel,Automatik,-1,02/2016,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes Benz E200cdi (w212) bj 2012,8.990 €,296.000 km,-1,100 kW (136 PS),Diesel,Automatik,-1,11/2012,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes c280 T Avantgard Navi.Memory.temp...,10.390 €,163.000 km,-1,170 kW (231 PS),Benzin,Automatik,-1,11/2008,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz GLK 220 GLK 220 BlueTEC 4MATIC,8.000 €,160.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,02/2015,5,4/5,Euro6,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz A 200 A 200 d 4MATIC Motorsport Edition DCT,10.000 €,66.000 km,2.143 cm³,-1,Diesel,Automatik,-1,03/2017,5,-1,Euro6,Limousine,-1,-1
Mercedes-Benz C 220 C 220 d EXCLUSIVE,8.000 €,66.000 km,2.143 cm³,125 kW (170 PS),Diesel,Schaltgetriebe,-1,03/2017,5,4/5,Euro6,Limousine,-1,-1
Mercedes-Benz Mercedes C-Klasse Avantgarde TOP Zustand!,10.500 €,103.500 km,-1,135 kW (184 PS),Benzin,Schaltgetriebe,-1,08/2007,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz E250 CDI 7 Sitzer,8.500 €,222.000 km,-1,150 kW (204 PS),Diesel,Schaltgetriebe,-1,08/2010,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz 515 CDI Sprinter Aut.,8.750 €,259.523 km,2.148 cm³,110 kW (150 PS),Diesel,Automatik,-1,11/2007,5,4/5,Euro4,Andere,1,Unfallfrei
Mercedes-Benz NOTVERKAUF Mercedes Benz GL 420CDI,9.899 €,238.000 km,-1,225 kW (306 PS),Diesel,Automatik,-1,06/2007,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz C 250 CDI DPF Automatik BlueEFFICIENCY,10.000 €,245.000 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,04/2011,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz M -Klasse ML 350 CDI,9.200 €,243.000 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,10/2009,5,4/5,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedes-Benz C250 Avantgarde Blue Efficiency,9.000 €,180.000 km,-1,150 kW (204 PS),Diesel,Schaltgetriebe,-1,11/2011,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes-Benz C250 Blue Efficiency Avantgarde,9.000 €,180.000 km,-1,150 kW (204 PS),Diesel,Schaltgetriebe,-1,11/2011,-1,-1,-1,Kombi,-1,-1
"Mercedes-Benz R-Klasse 320CDi, 2009, MEGA-VOLL! lang, 7-...",8.990 €,294.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,07/2009,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz C 180 BlueEFFICIENCY 7G-TRONIC Avantgarde,10.800 €,142.000 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,10/2011,5,4/5,Euro5,Limousine,-1,-1
Mercedes-Benz Mercedes W204,8.700 €,181.000 km,-1,100 kW (136 PS),Diesel,Automatik,-1,05/2014,-1,-1,-1,Andere,-1,-1
Mercedes-Benz A 160*AVANTGARDE*EINPARKHILFE*SHZ*TEMPOMAT*,8.450 €,90.581 km,1.498 cm³,70 kW (95 PS),Benzin,Automatik,-1,11/2011,5,4/5,Euro5,Limousine,3,Unfallfrei
Mercedes-Benz Mercedes Gl 320 7 sitze,9.300 €,189.123 km,-1,165 kW (224 PS),Diesel,Automatik,-1,01/2008,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedes W211 Facelift E500 5.5L 387PS 4Ma...,10.999 €,243.000 km,-1,285 kW (387 PS),Benzin,Automatik,-1,09/2007,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz C 180 CDI - AMG,8.700 €,193.450 km,-1,88 kW (120 PS),Diesel,Automatik,-1,03/2014,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Glk 320 D 4 matic 7/G,8.800 €,191.200 km,-1,165 kW (224 PS),Diesel,Automatik,-1,11/2008,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
"Mercedes-Benz E250 T BlueTEC 4Matic,EURO6,TÜV NEU,EX-Polizei",9.750 €,324.950 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,09/2015,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz CLS 320 CDI 7G-TRONIC,9.800 €,180.000 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,03/2008,4,4/5,Euro4,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes Benz E320 CDI (W211) Avantgarde,8.000 €,315.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,12/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz ML 320 CDI AHK Navi+DVD leder Standhei TÜV Neu,8.800 €,195.000 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,09/2007,5,4/5,Euro4,SUV / Geländewagen / Pickup,-1,Unfallfrei
