,carname,price,milage,hubraum,transmission,num_seats,num_doors,emission_class,car_type,num_owners,age,power_ps,power_kw,Schaden,Model,amg,mc_laren,blk_series,blue_eff,g_pow,brabus,avantgarde,elegance,tag_63,tag_65,tag_55,tüv,E10,biodiesel,pflanzenöl,electric,fueltype
0,Mercedes-Benz Mercedes vaneo mit 2 jahre tüv tausch möglich,1900.0,278000.0,3564.923076923077,Schaltgetriebe,na,na,na,andere,na,15.833333333333334,91.0,67.0,na,GL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
1,"Mercedes-Benz Mercedes-Benz A 170 Autotronic Avantgarde,...",1500.0,390000.0,1662.0386329866271,Automatik,na,na,na,limousine,na,13.166666666666666,116.0,85.0,na,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
2,Mercedes-Benz Mercedes A140 Elegance Piccadilly,1700.0,130000.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,14.75,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benzin
3,Mercedes-Benz Mercedes-benz A160,1550.0,154079.0,1662.0386329866271,Automatik,na,na,na,kleinwagen,na,17.416666666666668,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
4,Mercedes-Benz CLK Coupe 200 Elegance Automatik,1200.0,175000.0,1998.0,Automatik,4,2/3,na,sport,na,21.083333333333332,136.0,100.0,repaired,CLK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benzin
5,Mercedes-Benz Mercedes S Klasse W320,1699.0,244000.0,3844.728501228501,Automatik,na,na,na,limousine,na,20.25,224.0,165.0,na,S-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
6,Mercedes-Benz Mercedes Benz c220 **TÜV** **KLIMA** **SHZ**,1500.0,290000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,16.583333333333332,150.0,110.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
7,Mercedes-Benz A 200 Avantgarde TÜV/AU Neu,1900.0,124000.0,2034.0,Schaltgetriebe,5,2/3,Euro4,limousine,3,14.0,136.0,100.0,without,A-Klasse,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Benzin
8,Mercedes-Benz Mercedes c 200,1800.0,225252.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,18.25,163.0,120.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
9,Mercedes-Benz Mercedes w210 220CDI,1990.0,192000.0,3312.844155844156,Automatik,na,na,na,limousine,na,18.333333333333332,141.0,104.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
