carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz SL 500 Grand Edition Neuwagen,109.900 € (Brutto),122 km,4.663 cm³,335 kW (455 PS),Benzin,Automatik,-1,12/2020,2,2/3,Euro6,Cabrio / Roadster,1,Unfallfrei
"Mercedes-Benz 949,- € AMG GT 4-trg. AMG GT 43 4MATIC+",108.000 € (Brutto),42.200 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,10/2019,4,4/5,-1,Limousine,2,-1
Mercedes-Benz Mercedes S320 *Gasanlage*Tausch Möglich *,99.999 €,223.056 km,-1,165 kW (224 PS),Autogas (LPG),Automatik,-1,06/2000,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz S 600 L Guard org. Werkspanzer armourd VR7,101.150 € (Brutto),40.022 km,5.513 cm³,380 kW (517 PS),Benzin,Automatik,-1,03/2012,5,4/5,Euro4,Limousine,1,Unfallfrei
Mercedes-Benz S63 Cp. AMG *Keramik*Drivers*Designo*Exclusiv*,100.483 € (Brutto),78.500 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,07/2017,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz S 560 e Lang AMG/Chauffeur/4xMem/Fondent/Headup,95.850 € (Brutto),4.585 km,2.996 cm³,270 kW (367 PS),Benzin,Automatik,-1,01/2020,5,4/5,Euro6d-TEMP,Limousine,1,-1
Mercedes-Benz E 63 AMG Mercedes-AMG E 63 S 4MATIC+ EDITION 1,100.600 € (Brutto),3.800 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,09/2017,5,4/5,Euro6,Limousine,1,-1
Mercedes-Benz GLE 400 d Coupe 4Matic AMG-Line*Pano*MBUX*VOLL*,102.381 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,08/2020,5,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
Mercedes-Benz G 350 CDI Cabrio BlueTec*1 Hand*28 TKM*Comand*,104.770 €,28.011 km,2.987 cm³,155 kW (211 PS),Diesel,Automatik,-1,06/2011,5,2/3,Euro5,Cabrio / Roadster,1,Unfallfrei
"Mercedes-Benz GLS 400d AMG 23 "" Hud/Pano/AHK/Standhz/Multikont",107.100 € (Brutto),8.900 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,07/2020,7,4/5,Euro6d,SUV / Geländewagen / Pickup,1,-1
"Mercedes-Benz GLE 400d Coupe AMG Airmatic 22"" Panoram/AHK/Dist",97.580 € (Brutto),80 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6d,"Sportwagen / Coupé, Tageszulassung",-1,-1
"Mercedes-Benz GLE 350 Coupe d*AMG Airmatic HeadUp AHK Pano21""*",95.200 € (Brutto),60 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,07/2020,5,4/5,Euro6d,"Sportwagen / Coupé, Tageszulassung",-1,-1
"Mercedes-Benz S600 Maybach*UPE:234.124,17€ First-Class",99.960 € (Brutto),54.000 km,5.980 cm³,390 kW (530 PS),Benzin,Automatik,-1,02/2016,4,4/5,Euro6,Limousine,2,-1
Mercedes-Benz S 560 S63 AMG CABRIO NACHTSICHT KEYLESS 360° KAM,106.999 € (Brutto),12.495 km,-1,345 kW (469 PS),"Benzin, E10-geeignet",Automatik,-1,04/2018,4,2/3,Euro6,Cabrio / Roadster,1,-1
Mercedes-Benz S 560 S63 AMG CABRIO NACHTSICHT KEYLESS 360° KAM,106.999 € (Brutto),12.495 km,-1,345 kW (469 PS),"Benzin, E10-geeignet",Automatik,-1,04/2018,4,2/3,Euro6,Cabrio / Roadster,1,-1
Mercedes-Benz AMG GT 43 4Matic LederExkl. 21 Zoll StHz HUD ACC,97.104 € (Brutto),19.319 km,2.999 cm³,270 kW (367 PS),"Hybrid (Benzin/Elektro), Plug-in-Hybrid",Automatik,-1,10/2019,4,4/5,Euro6d-TEMP,Limousine,1,-1
Mercedes-Benz E63T AMG S 4M Keramik Pano Carbon NP166K,95.900 € (Brutto),29.500 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,02/2019,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz G 350 BlueTEC Cabrio 7G-Tronic Exklusiv,107.980 €,62.186 km,2.987 cm³,155 kW (211 PS),Diesel,Automatik,-1,08/2012,4,2/3,Euro5,Cabrio / Roadster,-1,-1
Mercedes-Benz AMG GT Roadster **PERFORMANCE SITZ**CARBON**,105.800 € (Brutto),12.000 km,3.982 cm³,350 kW (476 PS),Benzin,Automatik,-1,06/2018,2,2/3,Euro6,Cabrio / Roadster,-1,-1
Mercedes-Benz G 500 7G-TRONIC PLUS Sportpaket Sportabgasanlage,97.000 €,13.800 km,3.982 cm³,310 kW (421 PS),Benzin,Automatik,-1,09/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz AMG SL 63 AMG 585PS nur 11600KM/graphitgrau,109.000 €,11.700 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,05/2018,2,2/3,Euro6,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz AMG GT 53 4M+DISTRONIC/PANORAM/Md.20/NP.138.887€,102.585 € (Brutto),36.455 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,10/2019,4,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
"Mercedes-Benz GLE 53 AMG COUPÈ.4M.PANO.360°PERFORMANCE 22""",109.900 € (Brutto),50 km,2.999 cm³,320 kW (435 PS),Hybrid (Benzin/Elektro),Automatik,-1,12/2020,5,4/5,Euro6d,"Sportwagen / Coupé, Tageszulassung",-1,Unfallfrei
"Mercedes-Benz GLE 400 d 4M AMG+KEYLESS+AHK+AIRMATIC+3,5T+HUD",96.200 € (Brutto),2.999 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz Mercedes SL R231 63 AMG Line Facelift in S...,99.000 €,35.000 km,-1,-1,Benzin,Automatik,-1,01/2017,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz GLS 400 d 4M AMG WideScreen 360° Stdhzg Distr.,98.900 € (Brutto),8.500 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,08/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 350 d L 4M AMG Burmester 3D 360° Airmat,108.800 € (Brutto),8.500 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,12/2020,-1,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 350 d L 4M AMG Burmester 3D 360° Airmat,111.900 € (Brutto),3.000 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,12/2020,-1,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 63 AMG 4MATIC Cabriolet,99.989 € (Brutto),71.321 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,04/2017,4,2/3,Euro6,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz R107 300 SL 16.000 orig. km Neuwagenzustan...,99.800 €,16.000 km,-1,138 kW (188 PS),Benzin,Automatik,-1,09/1985,-1,-1,-1,Andere,-1,-1
Mercedes-Benz E 63 AMG S 4MATIC+ Distronic/Schiebedach/Standhz,100.391 € (Brutto),25.550 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,08/2019,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz GLE 53 AMG Coupe 4M Night+360+LED+Pano+PerfAbgas,107.714 € (Brutto),4.000 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,10/2020,5,4/5,Euro6d,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 53 AMG Coupe 4M Night+360+LED+Pano+PerfAbgas,107.714 € (Brutto),4.000 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,10/2020,5,4/5,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 63 AMG S 4M+ Night+MBUX+360°+Multibe+Pano+21,99.097 € (Brutto),11.758 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,05/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz G 63 AMG Navi/ RüKam./Sitzheizung/Parktronic/,106.484 € (Brutto),26.960 km,5.461 cm³,420 kW (571 PS),Benzin,Automatik,-1,05/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
